id,title,year,duration,rating
0,Um Sonho de Liberdade,1994,2h 22m,16
1,O Poderoso Chefão,1972,2h 55m,14
2,Batman - O Cavaleiro das Trevas,2008,2h 32m,12
3,O Poderoso Chefão II,1974,3h 22m,14
4,12 Homens e uma Sentença,1957,1h 36m,Livre
5,A Lista de Schindler,1993,3h 15m,14
6,O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,14
7,Pulp Fiction - Tempo de Violência,1994,2h 34m,18
8,O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,12
9,Três Homens em Conflito,1966,2h 41m,14
10,Forrest Gump: O Contador de Histórias,1994,2h 22m,14
11,Clube da Luta,1999,2h 19m,18
12,O Senhor dos Anéis: As Duas Torres,2002,2h 59m,12
13,A Origem,2010,2h 28m,14
14,Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,Livre
15,Matrix,1999,2h 16m,14
16,Os Bons Companheiros,1990,2h 25m,14
17,Um Estranho no Ninho,1975,2h 13m,16
18,Seven: Os Sete Crimes Capitais,1995,2h 7m,14
19,A Felicidade Não se Compra,1946,2h 10m,Livre
20,Os Sete Samurais,1954,3h 27m,10
21,Interestelar,2014,2h 49m,10
22,O Silêncio dos Inocentes,1991,1h 58m,14
23,O Resgate do Soldado Ryan,1998,2h 49m,14
24,Cidade de Deus,2002,2h 10m,18
25,A Vida é Bela,1997,1h 56m,Livre
26,À Espera de um Milagre,1999,3h 9m,18
27,Star Wars: Episódio IV - Uma Nova Esperança,1977,2h 1m,Livre
28,O Exterminador do Futuro 2: O Julgamento Final,1991,2h 17m,14
29,Homem-Aranha: Através do Aranhaverso,2023,2h 20m,10
30,De Volta para o Futuro,1985,1h 56m,Livre
31,A Viagem de Chihiro,2001,2h 5m,Livre
32,O Pianista,2002,2h 30m,14
33,Parasita,2019,2h 12m,16
34,Psicose,1960,1h 49m,14
35,Gladiador,2000,2h 35m,14
36,O Rei Leão,1994,1h 28m,Livre
37,O Profissional,1994,1h 50m,14
38,Os Infiltrados,2006,2h 31m,18
39,A Outra História Americana,1998,1h 59m,14
40,Whiplash: Em Busca da Perfeição,2014,1h 46m,12
41,O Grande Truque,2006,2h 10m,14
42,Túmulo dos Vagalumes,1988,1h 29m,12
43,Harakiri,1962,2h 13m,16
44,Os Suspeitos,1995,1h 46m,14
45,Casablanca,1942,1h 42m,Livre
46,Intocáveis,2011,1h 52m,14
47,Tempos Modernos,1936,1h 27m,Livre
48,Cinema Paradiso,1988,2h 35m,10
49,Janela Indiscreta,1954,1h 52m,12
50,Era uma Vez no Oeste,1968,2h 46m,14
51,Alien - O 8º Passageiro,1979,1h 57m,14
52,Luzes da Cidade,1931,1h 27m,Livre
53,Apocalypse Now,1979,2h 27m,16
54,Django Livre,2012,2h 45m,16
55,Amnésia,2000,1h 53m,16
56,Os Caçadores da Arca Perdida,1981,1h 55m,Livre
57,WALL·E,2008,1h 38m,Livre
58,A Vida dos Outros,2006,2h 17m,12
59,Crepúsculo dos Deuses,1950,1h 50m,Livre
60,Glória Feita de Sangue,1957,1h 28m,14
61,Vingadores: Guerra Infinita,2018,2h 29m,12
62,Homem-Aranha: No Aranhaverso,2018,1h 57m,10
63,O Iluminado,1980,2h 26m,16
64,Testemunha de Acusação,1957,1h 56m,12
65,O Grande Ditador,1940,2h 5m,Livre
66,"Aliens, O Resgate",1986,2h 17m,14
67,Bastardos Inglórios,2009,2h 33m,18
68,Oppenheimer,2023,3h,16
69,Batman - O Cavaleiro das Trevas Ressurge,2012,2h 44m,12
70,Beleza Americana,1999,2h 2m,14
71,Dr. Fantástico,1964,1h 35m,10
72,Oldboy,2003,2h,16
73,Viva: A Vida é uma Festa,2017,1h 45m,Livre
74,Amadeus,1984,2h 40m,Livre
75,Toy Story,1995,1h 21m,Livre
76,O Barco: Inferno no Mar,1981,2h 29m,14
77,Coração Valente,1995,2h 58m,16
78,Vingadores: Ultimato,2019,3h 1m,12
79,Coringa,2019,2h 2m,16
80,Princesa Mononoke,1997,2h 14m,12
81,Gênio Indomável,1997,2h 6m,14
82,Your Name.,2016,1h 46m,Livre
83,Era uma Vez na América,1984,3h 49m,18
84,3 Idiotas,2009,2h 50m,12
85,Céu E Inferno,1963,2h 23m,Not Rated
86,Cantando na Chuva,1952,1h 43m,Livre
87,Cafarnaum,2018,2h 6m,16
88,Réquiem para um Sonho,2000,1h 42m,18
89,Vá e Veja,1985,2h 22m,18
90,Toy Story 3,2010,1h 43m,Livre
91,"Star Wars, Episódio VI: O Retorno do Jedi",1983,2h 11m,Livre
92,Brilho Eterno de uma Mente sem Lembranças,2004,1h 48m,14
93,A Caça,2012,1h 55m,14
94,2001: Uma Odisséia no Espaço,1968,2h 29m,Livre
95,12th Fail,2023,2h 27m,
96,Cães de Aluguel,1992,1h 39m,18
97,Viver,1952,2h 23m,Not Rated
98,Lawrence da Arábia,1962,3h 38m,14
99,Se Meu Apartamento Falasse,1960,2h 5m,Livre
100,Cidadão Kane,1941,1h 59m,Livre
101,"M, o Vampiro de Dusseldorf",1931,1h 57m,12
102,Intriga Internacional,1959,2h 16m,14
103,Um Corpo que Cai,1958,2h 8m,14
104,Pacto de Sangue,1944,1h 47m,14
105,Scarface,1983,2h 50m,18
106,O Fabuloso Destino de Amélie Poulain,2001,2h 2m,14
107,Nascido para Matar,1987,1h 56m,16
108,Incêndios,2010,2h 11m,14
109,Laranja Mecânica,1971,2h 16m,(Banned)
110,Fogo Contra Fogo,1995,2h 50m,14
111,Up: Altas Aventuras,2009,1h 36m,Livre
112,O Sol é para Todos,1962,2h 9m,12
113,Golpe de Mestre,1973,2h 9m,18
114,A Separação,2011,2h 3m,12
115,Indiana Jones e a Última Cruzada,1989,2h 7m,Livre
116,Hamilton,2020,2h 40m,12
117,Duro de Matar,1988,2h 12m,14
118,Metrópolis,1927,2h 33m,Livre
119,Como Estrelas na Terra,2007,2h 42m,Livre
120,Snatch - Porcos e Diamantes,2000,1h 44m,16
121,Ladrões de Bicicletas,1948,1h 29m,10
122,Los Angeles: Cidade Proibida,1997,2h 18m,18
123,1917,2019,1h 59m,14
124,Taxi Driver: Motorista de Táxi,1976,1h 54m,14
125,A Queda! As Últimas Horas de Hitler,2004,2h 36m,16
126,Dangal,2016,2h 41m,10
127,Por uns Dólares a Mais,1965,2h 12m,12
128,Batman Begins,2005,2h 20m,10
129,Quanto Mais Quente Melhor,1959,2h 1m,Livre
130,O Lobo de Wall Street,2013,3h,18
131,O Garoto,1921,1h 8m,Livre
132,Top Gun: Maverick,2022,2h 10m,12
133,Meu Pai,2020,1h 37m,12
134,Green Book: O Guia,2018,2h 10m,12
135,A Malvada,1950,2h 18m,Livre
136,Julgamento em Nuremberg,1961,2h 59m,Approved
137,O Show de Truman: O Show da Vida,1998,1h 43m,12
138,Sangue Negro,2007,2h 38m,14
139,Ilha do Medo,2010,2h 18m,16
140,Cassino,1995,2h 58m,18
141,Ran,1985,2h 40m,16
142,Jurassic Park - O Parque dos Dinossauros,1993,2h 7m,Livre
143,O Labirinto do Fauno,2006,1h 58m,16
144,O Sexto Sentido,1999,1h 47m,12
145,Os Imperdoáveis,1992,2h 10m,12
146,Uma Mente Brilhante,2001,2h 15m,12
147,Onde os Fracos Não Têm Vez,2007,2h 2m,16
148,O Tesouro da Sierra Madre,1948,2h 6m,Livre
149,"Yojimbo, o Guarda-Costas",1961,1h 50m,Livre
150,O Enigma de Outro Mundo,1982,1h 49m,14
151,Kill Bill: Volume 1,2003,1h 51m,18
152,Monty Python em Busca do Cálice Sagrado,1975,1h 31m,Livre
153,Fugindo do Inferno,1963,2h 52m,12
154,Procurando Nemo,2003,1h 40m,Livre
155,Rashomon,1950,1h 28m,14
156,O Homem Elefante,1980,2h 4m,10
157,Chinatown,1974,2h 10m,12
158,O Castelo Animado,2004,1h 59m,Livre
159,Os Suspeitos,2013,2h 33m,16
160,Disque M para Matar,1954,1h 45m,16
161,...E o Vento Levou,1939,3h 58m,Livre
162,V de Vingança,2005,2h 12m,16
163,"Jogos, Trapaças e Dois Canos Fumegantes",1998,1h 47m,18
164,O Segredo dos Seus Olhos,2009,2h 9m,16
165,Touro Indomável,1980,2h 9m,16
166,Divertida Mente,2015,1h 35m,Livre
167,Três Anúncios para um Crime,2017,1h 55m,16
168,Homem-Aranha: Sem Volta para Casa,2021,2h 28m,12
169,Trainspotting: Sem Limites,1996,1h 33m,18
170,A Ponte do Rio Kwai,1957,2h 41m,12
171,Godzilla Minus One,2023,2h 4m,12
172,Fargo: Uma Comédia de Erros,1996,1h 38m,18
173,Guerreiro,2011,2h 20m,12
174,Klaus,2019,1h 36m,10
175,Prenda-me se for Capaz,2002,2h 21m,12
176,Gran Torino,2008,1h 56m,14
177,Meu Amigo Totoro,1988,1h 26m,Livre
178,Menina de Ouro,2004,2h 12m,12
179,Harry Potter e as Relíquias da Morte - Parte 2,2011,2h 10m,12
180,Filhos do Paraíso,1997,1h 29m,Livre
181,Blade Runner: O Caçador de Androides,1982,1h 57m,14
